ID,Ola,Módulo,Funcionalidad,Estado matriz,Qué falta según matriz,Horas base,Responsable propuesto en plan,Responsable nominal,Inicio objetivo,Fin objetivo,Dependencias,Criterio de aceptación,Backend localizado,Frontend localizado,Pruebas localizadas,Estado de evidencia técnica,Evidencia requerida para cierre,Resultado QA/UAT
F1-ADM-11,Ola 1A · Fundaciones,Administración y usuarios,Adjuntar y consultar documentos con metadatos y control de acceso,Ya existe y funciona,--,0,Dev 1 y Dev 2,Geovany y Uzziel,2026-09-28,2026-09-28,Todos los módulos,Un documento queda ligado al registro correcto y respeta sus permisos,backend/src/Administracion; backend/src/Identidad; backend/src/Catalogos; backend/src/DatosMaestros; backend/src/Compartido,frontend/src/features/catalogos; frontend/src/routes,backend/tests/Administracion.UnitTests; backend/tests/Identidad.UnitTests; backend/tests/Catalogos.UnitTests; backend/tests/Api.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-ADM-12,Ola 1A · Fundaciones,Administración y usuarios,Aplicar segregación de datos y configuración independiente para las dos empresas,Existe a medias,"Completar pruebas de aislamiento, parámetros y reportes por empresa",6,Dev 1 y Dev 2,Geovany y Uzziel,2026-09-29,2026-09-29,Todos los módulos,No se consultan ni contabilizan registros de otra empresa sin autorización explícita,backend/src/Administracion; backend/src/Identidad; backend/src/Catalogos; backend/src/DatosMaestros; backend/src/Compartido,frontend/src/features/catalogos; frontend/src/routes,backend/tests/Administracion.UnitTests; backend/tests/Identidad.UnitTests; backend/tests/Catalogos.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-COM-01,Ola 1B-1 · Abastecimiento e inventario,Compras,"Consultar requisiciones, detalle, autorizaciones y saldo por comprar",Ya existe y funciona,--,0,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-07,2026-10-07,Sistema de requisiciones; Administración y usuarios,"La requisición se consulta con partidas, autorizaciones y saldo disponible",backend/src/Compras,frontend/src/features/compras,backend/tests/Compras.UnitTests; backend/tests/Compras.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-COM-02,Ola 1B-1 · Abastecimiento e inventario,Compras,Registrar y comparar cotizaciones de proveedores,Ya existe y funciona,--,0,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-07,2026-10-07,Proveedores; requisición,Se comparan alternativas vigentes para las mismas partidas,backend/src/Compras,frontend/src/features/compras,backend/tests/Compras.UnitTests; backend/tests/Compras.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-COM-03,Ola 1B-1 · Abastecimiento e inventario,Compras,Crear orden de compra desde requisición sin exceder el saldo,Ya existe y funciona,--,0,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-07,2026-10-07,Sistema de requisiciones; Almacén de insumos,La orden descuenta el saldo disponible y rechaza excedentes,backend/src/Compras,frontend/src/features/compras,backend/tests/Compras.UnitTests; backend/tests/Compras.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-COM-04,Ola 1B-1 · Abastecimiento e inventario,Compras,Crear orden de compra sin requisición con autorización requerida,Ya existe y funciona,--,0,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-07,2026-10-07,Administración y usuarios,La excepción no se libera sin motivo y autorizador válido,backend/src/Compras,frontend/src/features/compras,backend/tests/Compras.UnitTests; backend/tests/Compras.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-COM-05,Ola 1B-1 · Abastecimiento e inventario,Compras,Autorizar orden de compra y segunda firma cuando corresponda,Ya existe y funciona,--,0,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-07,2026-10-07,Administración y usuarios,La orden cambia a liberada sólo con las firmas aplicables,backend/src/Compras,frontend/src/features/compras,backend/tests/Compras.UnitTests; backend/tests/Compras.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-COM-06,Ola 1B-1 · Abastecimiento e inventario,Compras,"Controlar subestados de compra, recepción, factura y cierre automático",Existe a medias,Completar cálculo de subestados y cierre con entregas y facturas parciales,5,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-07,2026-10-07,Almacén de insumos; Cuentas por pagar,"El estado refleja compras, recepciones y facturas; cierra sólo con saldos en cero",backend/src/Compras,frontend/src/features/compras,backend/tests/Compras.UnitTests; backend/tests/Compras.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-COM-07,Ola 1B-1 · Abastecimiento e inventario,Compras,"Registrar entregas parciales, incidencias y compromisos del proveedor",Existe a medias,"Completar incidencias, nueva fecha compromiso y alertas de atraso",4,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-07,2026-10-08,Almacén de insumos,"Cada entrega parcial conserva saldo, incidencia y fecha compromiso",backend/src/Compras,frontend/src/features/compras,backend/tests/Compras.UnitTests; backend/tests/Compras.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-COM-08,Ola 1B-1 · Abastecimiento e inventario,Compras,Cancelar una orden conservando autorización y motivo,Existe a medias,"Completar segunda firma, efecto sobre saldos y notificación a módulos relacionados",4,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-08,2026-10-08,Administración y usuarios; Almacén; Cuentas por pagar,La cancelación restituye saldos aplicables y conserva evidencia de autorización,backend/src/Compras,frontend/src/features/compras,backend/tests/Compras.UnitTests; backend/tests/Compras.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-COM-09,Ola 1B-1 · Abastecimiento e inventario,Compras,Generar compras de materia prima en ERP y transmitirlas a A+W,No existe,--,10,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-08,2026-10-12,Materia prima; A+W,Una orden liberada se transmite una sola vez y devuelve identificador y resultado,backend/src/Compras,frontend/src/features/compras,backend/tests/Compras.UnitTests; backend/tests/Compras.IntegrationTests,"Construcción pendiente; rutas son puntos de integración, no evidencia de funcionalidad terminada",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-COM-10,Ola 1B-1 · Abastecimiento e inventario,Compras,Emitir orden de compra en PDF y enviarla al proveedor,Ya existe y funciona,--,0,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-07,2026-10-07,Proveedor; servicio de correo,El PDF coincide con la orden liberada y queda evidencia del envío,backend/src/Compras,frontend/src/features/compras,backend/tests/Compras.UnitTests; backend/tests/Compras.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-COM-11,Ola 1B-1 · Abastecimiento e inventario,Compras,Confirmar recepción de la orden por parte del proveedor,Existe a medias,"Agregar confirmación, rechazo, fecha prometida y seguimiento",3,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-12,2026-10-12,Proveedor; servicio de correo,La orden muestra si el proveedor confirmó y la fecha comprometida,backend/src/Compras,frontend/src/features/compras,backend/tests/Compras.UnitTests; backend/tests/Compras.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-COM-12,Ola 1B-1 · Abastecimiento e inventario,Compras,"Consultar trazabilidad de requisición, orden, recepción, factura y pago",Existe a medias,Completar vínculos navegables y reporte de excepciones,2,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-12,2026-10-13,Almacén; Cuentas por pagar; Tesorería,Desde cualquier documento se llega a sus antecedentes y consecuencias,backend/src/Compras,frontend/src/features/compras,backend/tests/Compras.UnitTests; backend/tests/Compras.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-COM-13,Ola 1B-1 · Abastecimiento e inventario,Compras,"Analizar compras, saldos pendientes y cumplimiento de proveedores",Existe a medias,"Completar indicadores y filtros acordados por empresa, proveedor y periodo",3,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-13,2026-10-13,Almacén; proveedores,El reporte concilia con órdenes y recepciones del periodo,backend/src/Compras,frontend/src/features/compras,backend/tests/Compras.UnitTests; backend/tests/Compras.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-ALM-01,Ola 1B-1 · Abastecimiento e inventario,Almacén de insumos,"Administrar almacenes, ubicaciones y artículos de insumo",Ya existe y funciona,--,0,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-07,2026-10-07,Administración y usuarios,Los movimientos usan artículos y ubicaciones vigentes,backend/src/Almacen,frontend/src/features/almacen,backend/tests/Almacen.UnitTests; backend/tests/Api.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-ALM-02,Ola 1B-1 · Abastecimiento e inventario,Almacén de insumos,Registrar recepción contra orden y factura de proveedor,Ya existe y funciona,--,0,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-07,2026-10-07,Compras; Cuentas por pagar,La recepción queda ligada a la orden y a la factura correspondiente,backend/src/Almacen,frontend/src/features/almacen,backend/tests/Almacen.UnitTests; backend/tests/Api.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-ALM-03,Ola 1B-1 · Abastecimiento e inventario,Almacén de insumos,Registrar recepción por packing list y completar factura después,Ya existe y funciona,--,0,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-07,2026-10-07,Compras; Cuentas por pagar,Se recibe con packing list y después se asocia la factura sin duplicar inventario,backend/src/Almacen,frontend/src/features/almacen,backend/tests/Almacen.UnitTests; backend/tests/Api.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-ALM-04,Ola 1B-1 · Abastecimiento e inventario,Almacén de insumos,"Manejar entregas parciales, diferencias y cuarentena",Existe a medias,"Completar tolerancias, cuarentena, liberación y rechazo parcial",8,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-07,2026-10-08,Compras; Calidad,El material observado no queda disponible hasta su liberación,backend/src/Almacen,frontend/src/features/almacen,backend/tests/Almacen.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-ALM-05,Ola 1B-1 · Abastecimiento e inventario,Almacén de insumos,"Validar tolerancia de cantidad entre orden, recepción y factura",Existe a medias,"Agregar regla de cantidad, bloqueo y flujo de excepción autorizado",4,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-08,2026-10-08,Compras; Cuentas por pagar,Fuera de tolerancia se bloquea el documento y dentro de tolerancia concilia,backend/src/Almacen,frontend/src/features/almacen,backend/tests/Almacen.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-ALM-06,Ola 1B-1 · Abastecimiento e inventario,Almacén de insumos,Registrar salida normal contra requisición autorizada,Ya existe y funciona,--,0,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-07,2026-10-07,Sistema de requisiciones,La salida no supera el saldo autorizado y actualiza existencias,backend/src/Almacen,frontend/src/features/almacen,backend/tests/Almacen.UnitTests; backend/tests/Api.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-ALM-07,Ola 1B-1 · Abastecimiento e inventario,Almacén de insumos,Registrar salida urgente con vale y regularización posterior,Existe a medias,"Completar vencimiento, alertas y bloqueo por vales sin regularizar",3,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-08,2026-10-09,Administración y usuarios; sistema de requisiciones,El vale queda pendiente hasta ligarse a una requisición autorizada,backend/src/Almacen,frontend/src/features/almacen,backend/tests/Almacen.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-ALM-08,Ola 1B-1 · Abastecimiento e inventario,Almacén de insumos,Registrar devoluciones internas y a proveedor,Ya existe y funciona,--,0,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-07,2026-10-07,Compras; Cuentas por pagar,La devolución revierte existencias y conserva el documento origen,backend/src/Almacen,frontend/src/features/almacen,backend/tests/Almacen.UnitTests; backend/tests/Api.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-ALM-09,Ola 1B-1 · Abastecimiento e inventario,Almacén de insumos,Realizar conteos físicos y ajustes autorizados,Ya existe y funciona,--,0,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-07,2026-10-07,Administración y usuarios,La diferencia genera un ajuste autorizado y auditable,backend/src/Almacen,frontend/src/features/almacen,backend/tests/Almacen.UnitTests; backend/tests/Api.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-ALM-10,Ola 1B-1 · Abastecimiento e inventario,Almacén de insumos,"Calcular reorden por mínimos, máximos y consumo",Ya existe y funciona,--,0,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-07,2026-10-07,Compras,El reporte propone reposición con parámetros vigentes,backend/src/Almacen,frontend/src/features/almacen,backend/tests/Almacen.UnitTests; backend/tests/Api.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-ALM-11,Ola 1B-1 · Abastecimiento e inventario,Almacén de insumos,Cerrar inventario mensual y bloquear periodos,Existe a medias,"Completar bloqueo, reapertura autorizada y conciliación con contabilidad",5,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-09,2026-10-09,Contabilidad,Después del cierre no se registran movimientos retroactivos sin reapertura,backend/src/Almacen,frontend/src/features/almacen,backend/tests/Almacen.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-ALM-12,Ola 1B-1 · Abastecimiento e inventario,Almacén de insumos,Registrar merma por etapa y motivo,No existe,--,8,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-09,2026-10-13,Materia prima; Producto terminado; Contabilidad,"La merma reduce inventario, se clasifica por etapa y conserva autorización",backend/src/Almacen,frontend/src/features/almacen,backend/tests/Almacen.UnitTests; backend/tests/Api.IntegrationTests,"Construcción pendiente; rutas son puntos de integración, no evidencia de funcionalidad terminada",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-ALM-13,Ola 1B-1 · Abastecimiento e inventario,Almacén de insumos,Valuar inventario y revaluar existencias pendientes,Existe a medias,"Completar método acordado, revaluación y trazabilidad del ajuste",7,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-13,2026-10-14,Compras; Contabilidad,La revaluación afecta sólo existencia pendiente y deja póliza y detalle,backend/src/Almacen,frontend/src/features/almacen,backend/tests/Almacen.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-ALM-14,Ola 1B-1 · Abastecimiento e inventario,Almacén de insumos,Sincronizar existencias y movimientos relevantes con A+W,Existe a medias,"Cerrar eventos, idempotencia, reintentos y conciliación operativa",10,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-14,2026-10-15,A+W; Materia prima,Cada evento se procesa una vez y las diferencias quedan en una bandeja conciliable,backend/src/Almacen,frontend/src/features/almacen,backend/tests/Almacen.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
